,DELIVERY_START,load_forecast,coal_power_available,gas_power_available,nucelear_power_available,wind_power_forecasts_average,solar_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,predicted_spot_price,year,month,day,seconds
10152,2023-03-11 02:00:00+01:00,51360.0,3386.0,11945.0,38315.0,3204.0,0.0,79.56573309128049,0.0,121.65,2023,03,11,7200
10565,2023-03-28 08:00:00+02:00,60240.0,3386.0,11952.0,36990.0,4117.0,1127.0,98.90526595680797,3.031964785005961,123.57,2023,03,28,28800
10023,2023-03-05 17:00:00+01:00,51929.0,3386.0,11945.0,38315.0,1023.0,1862.0,15.189177433656846,25.258457643721623,119.38,2023,03,05,61200
8642,2023-01-06 04:00:00+01:00,46272.0,2806.0,11945.0,43918.0,6949.0,0.0,38.96151947755675,0.0,81.03,2023,01,06,14400
10079,2023-03-08 01:00:00+01:00,56735.0,3386.0,11945.0,38315.0,7105.0,0.0,294.43570155968087,0.0,128.26,2023,03,08,3600
10422,2023-03-22 08:00:00+01:00,54396.0,3386.0,11945.0,38145.0,9578.0,2795.0,76.81877493820393,10.483881185223517,111.2,2023,03,22,28800
8802,2023-01-12 20:00:00+01:00,59639.0,3386.0,11945.0,46265.0,14017.0,0.0,74.4657159848935,0.0,170.82,2023,01,12,72000
9475,2023-02-09 21:00:00+01:00,68916.0,3386.0,11945.0,47585.0,1011.0,0.0,12.865944958787132,0.0,183.14,2023,02,09,75600
9685,2023-02-18 15:00:00+01:00,47867.0,2226.0,11945.0,42275.0,6086.0,5168.0,195.2984752742436,23.148116426993607,97.17,2023,02,18,54000
9544,2023-02-12 18:00:00+01:00,57984.0,3386.0,11945.0,44480.0,2214.0,149.0,39.71624552661225,2.5340537822683555,157.81,2023,02,12,64800
9230,2023-01-30 16:00:00+01:00,68863.0,2806.0,11945.0,43950.0,3988.0,1513.0,114.25663122015143,27.79528337286347,149.88,2023,01,30,57600
9693,2023-02-18 23:00:00+01:00,50552.0,2226.0,11945.0,42275.0,7082.0,0.0,124.76792424591736,0.0,127.29,2023,02,18,82800
9577,2023-02-14 03:00:00+01:00,59707.0,3386.0,11945.0,44470.0,2276.0,0.0,60.55138799594359,0.0,140.55,2023,02,14,10800
9860,2023-02-26 22:00:00+01:00,62849.0,3386.0,11742.0,39180.0,12158.0,0.0,112.66407269982346,0.0,144.6,2023,02,26,79200
8990,2023-01-20 16:00:00+01:00,69364.0,1646.0,11945.0,45280.0,3047.0,1620.0,146.04874159209652,20.669335465162696,180.69,2023,01,20,57600
9089,2023-01-24 19:00:00+01:00,77673.0,3256.0,11945.0,43630.0,3723.0,0.0,81.20092168528446,0.0,250.66,2023,01,24,68400
10077,2023-03-07 23:00:00+01:00,59307.0,3386.0,11945.0,38315.0,6395.0,0.0,519.9783718029605,0.0,148.72,2023,03,07,82800
9673,2023-02-18 03:00:00+01:00,46602.0,2226.0,11945.0,41360.0,5348.0,0.0,64.49454047928413,0.0,118.39,2023,02,18,10800
9658,2023-02-17 12:00:00+01:00,61783.0,2806.0,11945.0,44655.0,7488.0,5797.0,123.4833348550647,149.85679438560484,135.47,2023,02,17,43200
8902,2023-01-17 00:00:00+01:00,61024.0,3386.0,11945.0,46850.0,3071.0,0.0,135.78044802312104,0.0,111.64,2023,01,17,0
9905,2023-02-28 19:00:00+01:00,74339.0,3386.0,11950.0,39615.0,5462.0,0.0,294.4535253166931,0.0,195.71,2023,02,28,68400
10504,2023-03-25 18:00:00+01:00,43346.0,3386.0,11945.0,38835.0,7759.0,610.0,253.7000791460852,12.753710944550363,88.23,2023,03,25,64800
8805,2023-01-12 23:00:00+01:00,55839.0,3386.0,11945.0,46265.0,12990.0,0.0,122.58341830951046,0.0,131.61,2023,01,12,82800
10080,2023-03-08 02:00:00+01:00,56587.0,3386.0,11945.0,38315.0,7766.0,0.0,269.3135063562215,0.0,125.04,2023,03,08,7200
10048,2023-03-06 18:00:00+01:00,63936.0,3386.0,11945.0,38315.0,3575.0,259.0,207.82714123742505,6.189789339185301,169.99,2023,03,06,64800
8672,2023-01-07 10:00:00+01:00,55109.0,2806.0,11945.0,44440.0,11860.0,2274.0,102.32448706734182,15.79732748143021,143.24,2023,01,07,36000
10587,2023-03-29 06:00:00+02:00,53163.0,3386.0,11952.0,36990.0,4632.0,0.0,93.6695624421535,0.0,98.05,2023,03,29,21600
8627,2023-01-05 13:00:00+01:00,58223.0,2806.0,11945.0,43918.0,3917.0,4050.0,201.995631868904,21.244376418519835,133.42,2023,01,05,46800
8917,2023-01-17 15:00:00+01:00,68039.0,3386.0,11945.0,46850.0,3794.0,1708.0,254.93409512488293,75.46059625593738,172.63,2023,01,17,54000
10301,2023-03-17 07:00:00+01:00,54004.0,3086.0,11945.0,38315.0,6962.0,580.0,89.10082780950914,11.320205776554213,102.19,2023,03,17,25200
10266,2023-03-15 20:00:00+01:00,57892.0,3386.0,11945.0,38315.0,2312.0,0.0,158.8673076141577,0.0,190.61,2023,03,15,72000
8601,2023-01-04 11:00:00+01:00,60964.0,2806.0,11945.0,42748.0,13172.0,3095.0,38.74991039416083,39.75661247257035,137.99,2023,01,04,39600
9325,2023-02-03 15:00:00+01:00,61359.0,3386.0,11945.0,46955.0,4830.0,4293.0,119.2852789650832,112.73267649269371,142.8,2023,02,03,54000
9177,2023-01-28 11:00:00+01:00,70523.0,3386.0,11945.0,44846.0,4939.0,3493.0,71.75550808945998,31.33500204150584,168.81,2023,01,28,39600
10119,2023-03-09 17:00:00+01:00,52340.0,3386.0,11945.0,39815.0,11960.0,1031.0,499.166246919293,45.32327444425442,121.46,2023,03,09,61200
10438,2023-03-23 00:00:00+01:00,45571.0,3386.0,11945.0,38020.0,11648.0,0.0,179.517290299124,0.0,99.14,2023,03,23,0
10275,2023-03-16 05:00:00+01:00,50800.0,3386.0,11945.0,38315.0,5783.0,0.0,44.33137987735163,0.0,95.77,2023,03,16,18000
9617,2023-02-15 19:00:00+01:00,65412.0,3386.0,11945.0,45090.0,3076.0,0.0,86.39129787893192,0.0,183.96,2023,02,15,68400
9243,2023-01-31 05:00:00+01:00,63700.0,2806.0,11945.0,45240.0,3146.0,0.0,9.708328073717276,0.0,125.7,2023,01,31,18000
9247,2023-01-31 09:00:00+01:00,76243.0,2806.0,11945.0,45240.0,3810.0,1492.0,35.04040618142821,16.352729579672047,198.28,2023,01,31,32400
8765,2023-01-11 07:00:00+01:00,61418.0,3386.0,11945.0,46265.0,9039.0,0.0,202.20613309550723,0.0,108.24,2023,01,11,25200
9507,2023-02-11 05:00:00+01:00,59394.0,3386.0,11945.0,44480.0,1753.0,0.0,61.21664090901262,0.0,127.7,2023,02,11,18000
10313,2023-03-17 19:00:00+01:00,54064.0,3386.0,11945.0,38315.0,4795.0,57.0,60.834905393908016,4.070801956792844,126.0,2023,03,17,68400
9614,2023-02-15 16:00:00+01:00,56943.0,3386.0,11945.0,45090.0,1501.0,3231.0,141.2215078722583,97.93974094892702,133.66,2023,02,15,57600
10457,2023-03-23 19:00:00+01:00,51593.0,3386.0,11945.0,39350.0,11313.0,54.0,193.58671409220145,4.641428351580709,121.39,2023,03,23,68400
9802,2023-02-23 12:00:00+01:00,61858.0,3386.0,11945.0,43348.0,2198.0,3085.0,72.51531278450982,85.34214108956745,153.08,2023,02,23,43200
8679,2023-01-07 17:00:00+01:00,51965.0,3386.0,11945.0,44440.0,13490.0,146.0,236.4111883985206,6.460318435318356,131.68,2023,01,07,61200
10604,2023-03-29 23:00:00+02:00,48444.0,3386.0,11952.0,38320.0,10140.0,0.0,204.12477315571712,0.0,120.32,2023,03,29,82800
9890,2023-02-28 04:00:00+01:00,60660.0,3386.0,11747.0,39615.0,7290.0,0.0,73.44065231031571,0.0,132.24,2023,02,28,14400
9344,2023-02-04 10:00:00+01:00,59640.0,3386.0,11945.0,45755.0,2041.0,3666.0,41.97964804132109,22.141626724044627,156.28,2023,02,04,36000
9139,2023-01-26 21:00:00+01:00,70550.0,3386.0,11945.0,45930.0,7086.0,0.0,362.88313742659824,0.0,181.47,2023,01,26,75600
9949,2023-03-02 15:00:00+01:00,63560.0,3386.0,11945.0,39615.0,2242.0,5191.0,106.45620233632756,98.27730041966838,135.99,2023,03,02,54000
8728,2023-01-09 18:00:00+01:00,66515.0,3386.0,11945.0,46265.0,12025.0,0.0,165.8851845236474,0.0,164.13,2023,01,09,64800
8651,2023-01-06 13:00:00+01:00,58233.0,2806.0,11945.0,44440.0,6390.0,4133.0,161.04032702433406,44.6199638779615,126.74,2023,01,06,46800
9393,2023-02-06 11:00:00+01:00,70008.0,3386.0,11945.0,46152.0,3567.0,6003.0,123.313829936446,22.961284551071675,191.19,2023,02,06,39600
8595,2023-01-04 05:00:00+01:00,49286.0,2806.0,11945.0,42748.0,12631.0,0.0,33.81011953552573,0.0,70.66,2023,01,04,18000
9156,2023-01-27 14:00:00+01:00,73863.0,3326.0,11945.0,44655.0,7351.0,2914.0,95.65694765142187,52.60709587068771,177.19,2023,01,27,50400
9640,2023-02-16 18:00:00+01:00,62133.0,3386.0,11945.0,44674.0,6083.0,126.0,405.66844308411055,15.381085065032885,154.01,2023,02,16,64800
9220,2023-01-30 06:00:00+01:00,68595.0,2806.0,11945.0,44430.0,6409.0,0.0,32.73821695928488,0.0,116.48,2023,01,30,21600
10158,2023-03-11 08:00:00+01:00,53341.0,3386.0,11945.0,38315.0,3323.0,866.0,133.6089797772747,72.42237223399965,126.08,2023,03,11,28800
10143,2023-03-10 17:00:00+01:00,55583.0,3386.0,11945.0,39625.0,10169.0,673.0,672.7558455916803,26.447601597349063,101.23,2023,03,10,61200
9028,2023-01-22 06:00:00+01:00,62404.0,2226.0,11945.0,43630.0,5342.0,0.0,62.72079952304872,0.0,130.69,2023,01,22,21600
9760,2023-02-21 18:00:00+01:00,57366.0,3386.0,11945.0,43055.0,1074.0,135.0,72.26096335779661,7.5894663844041075,160.44,2023,02,21,64800
9564,2023-02-13 14:00:00+01:00,62044.0,2806.0,11945.0,44470.0,1303.0,8090.0,26.623739959137414,35.296318014198846,140.54,2023,02,13,50400
9515,2023-02-11 13:00:00+01:00,60862.0,3386.0,11945.0,44480.0,1103.0,8045.0,17.49285568453593,62.16888762263008,136.72,2023,02,11,46800
9767,2023-02-22 01:00:00+01:00,53360.0,3386.0,11945.0,42615.0,2773.0,0.0,64.69791543348144,0.0,136.2,2023,02,22,3600
9210,2023-01-29 20:00:00+01:00,69105.0,3386.0,11945.0,44845.0,3425.0,0.0,54.15183679776186,0.0,174.08,2023,01,29,72000
9500,2023-02-10 22:00:00+01:00,65481.0,3386.0,11945.0,46655.0,2105.0,0.0,85.11941192063242,0.0,161.48,2023,02,10,79200
9622,2023-02-16 00:00:00+01:00,57483.0,3386.0,11945.0,44674.0,3943.0,0.0,168.6991753527736,0.0,140.65,2023,02,16,0
8887,2023-01-16 09:00:00+01:00,67157.0,3386.0,11945.0,47760.0,12256.0,571.0,267.02716441580964,22.287485864129916,162.12,2023,01,16,32400
9565,2023-02-13 15:00:00+01:00,59999.0,2806.0,11945.0,44470.0,1444.0,6365.0,44.14863063903094,79.09540150781523,148.89,2023,02,13,54000
8933,2023-01-18 07:00:00+01:00,73210.0,2806.0,11945.0,45940.0,3866.0,0.0,50.50739284526707,0.0,157.82,2023,01,18,25200
8959,2023-01-19 09:00:00+01:00,78287.0,2806.0,11480.0,44445.0,2949.0,1413.0,103.740752796814,11.167178800079236,192.65,2023,01,19,32400
9132,2023-01-26 14:00:00+01:00,74316.0,3126.0,11945.0,45930.0,6532.0,3659.0,93.15025812221518,6.913328984437091,170.87,2023,01,26,50400
9454,2023-02-09 00:00:00+01:00,66884.0,3386.0,11945.0,46170.0,2055.0,0.0,57.737290993272566,0.0,155.4,2023,02,09,0
10057,2023-03-07 03:00:00+01:00,57184.0,3386.0,11945.0,38315.0,5568.0,0.0,72.40156716608124,0.0,129.05,2023,03,07,10800
10439,2023-03-23 01:00:00+01:00,44536.0,3386.0,11945.0,38020.0,11489.0,0.0,81.09922914134361,0.0,87.76,2023,03,23,3600
9021,2023-01-21 23:00:00+01:00,68735.0,3256.0,11945.0,43630.0,5805.0,0.0,241.6322405692992,0.0,152.41,2023,01,21,82800
9420,2023-02-07 14:00:00+01:00,68143.0,3386.0,11945.0,46055.0,3399.0,5501.0,86.53355161759845,70.75798760887331,156.18,2023,02,07,50400
9873,2023-02-27 11:00:00+01:00,72561.0,3386.0,11742.0,39615.0,11219.0,6161.0,82.90732778228947,45.34054152612592,156.6,2023,02,27,39600
9063,2023-01-23 17:00:00+01:00,75450.0,2806.0,11945.0,43630.0,6942.0,203.0,139.4128504017579,9.91327473002821,226.59,2023,01,23,61200
9833,2023-02-25 19:00:00+01:00,58563.0,3386.0,11945.0,41055.0,7208.0,0.0,138.48124908884347,0.0,148.82,2023,02,25,68400
9746,2023-02-21 04:00:00+01:00,51266.0,3386.0,11945.0,43040.0,1357.0,0.0,7.037713532441182,0.0,111.93,2023,02,21,14400
9183,2023-01-28 17:00:00+01:00,65547.0,3386.0,11945.0,44846.0,3719.0,298.0,54.80099639923713,18.15233160938679,158.88,2023,01,28,61200
10501,2023-03-25 15:00:00+01:00,41380.0,3386.0,11945.0,38835.0,11079.0,5829.0,152.14450889631726,111.79240965800352,44.93,2023,03,25,54000
9694,2023-02-19 00:00:00+01:00,48373.0,2226.0,11945.0,42165.0,7109.0,0.0,53.85107156312439,0.0,119.24,2023,02,19,0
10265,2023-03-15 19:00:00+01:00,60629.0,3386.0,11945.0,38315.0,1872.0,77.0,79.09987157094298,6.339345517267661,177.33,2023,03,15,68400
10021,2023-03-05 15:00:00+01:00,52376.0,3386.0,11945.0,38081.0,1071.0,6928.0,25.80322362043838,59.88011170478653,108.5,2023,03,05,54000
9072,2023-01-24 02:00:00+01:00,68097.0,2736.0,11945.0,43630.0,6508.0,0.0,79.37338336576113,0.0,150.01,2023,01,24,7200
9259,2023-01-31 21:00:00+01:00,64620.0,2806.0,11945.0,45240.0,4781.0,0.0,330.021080375275,0.0,189.08,2023,01,31,75600
10489,2023-03-25 03:00:00+01:00,39640.0,3386.0,11360.0,37505.0,13532.0,0.0,64.08157077052874,0.0,62.02,2023,03,25,10800
10298,2023-03-17 04:00:00+01:00,42782.0,3086.0,11945.0,38315.0,6579.0,0.0,41.70625570230305,0.0,83.06,2023,03,17,14400
10310,2023-03-17 16:00:00+01:00,47735.0,3086.0,11945.0,38315.0,5923.0,3616.0,185.27377211823708,68.2947393916355,89.84,2023,03,17,57600
8952,2023-01-19 02:00:00+01:00,65550.0,2806.0,11480.0,44445.0,3612.0,0.0,44.769416498261045,0.0,130.97,2023,01,19,7200
9290,2023-02-02 04:00:00+01:00,56005.0,2806.0,11945.0,44510.0,5735.0,0.0,47.49365282670411,0.0,112.72,2023,02,02,14400
8648,2023-01-06 10:00:00+01:00,60316.0,2806.0,11945.0,44440.0,7103.0,2289.0,100.55935066683712,14.330026978432922,138.59,2023,01,06,36000
8641,2023-01-06 03:00:00+01:00,47357.0,2806.0,11945.0,43918.0,6571.0,0.0,71.94508163343643,0.0,93.33,2023,01,06,10800
9561,2023-02-13 11:00:00+01:00,69252.0,2806.0,11945.0,44470.0,1731.0,7954.0,36.322493436048106,25.727645922351385,172.37,2023,02,13,39600
9071,2023-01-24 01:00:00+01:00,68643.0,2736.0,11945.0,43630.0,6594.0,0.0,66.6558814805394,0.0,156.54,2023,01,24,3600
8744,2023-01-10 10:00:00+01:00,67379.0,3386.0,11945.0,46265.0,8575.0,2372.0,263.4749991240133,34.91839225461368,178.26,2023,01,10,36000
9799,2023-02-23 09:00:00+01:00,62962.0,3386.0,11945.0,43348.0,1643.0,1459.0,77.18903457631487,24.600666870178816,181.63,2023,02,23,32400
9452,2023-02-08 22:00:00+01:00,68777.0,3386.0,11945.0,46085.0,2545.0,0.0,46.783086076670486,0.0,172.42,2023,02,08,79200
9717,2023-02-19 23:00:00+01:00,52485.0,3386.0,11945.0,42165.0,2042.0,0.0,107.99210362079464,0.0,133.06,2023,02,19,82800
8913,2023-01-17 11:00:00+01:00,71988.0,3386.0,11945.0,46850.0,2782.0,2484.0,364.4552968454332,40.678076187953536,184.1,2023,01,17,39600
9182,2023-01-28 16:00:00+01:00,64105.0,3386.0,11945.0,44846.0,4093.0,1210.0,50.8108537336549,49.63372989064122,152.66,2023,01,28,57600
8751,2023-01-10 17:00:00+01:00,62521.0,3386.0,11945.0,46265.0,12903.0,156.0,156.08315600122197,6.189789339185324,158.04,2023,01,10,61200
9692,2023-02-18 22:00:00+01:00,49603.0,2226.0,11945.0,42275.0,6882.0,0.0,148.47712666554804,0.0,128.49,2023,02,18,79200
8606,2023-01-04 16:00:00+01:00,56428.0,2806.0,11945.0,42748.0,12840.0,680.0,136.4547805789787,13.922232990026105,121.42,2023,01,04,57600
9847,2023-02-26 09:00:00+01:00,58124.0,3386.0,11742.0,39180.0,10285.0,4517.0,216.479466640889,36.76457516316631,122.78,2023,02,26,32400
9233,2023-01-30 19:00:00+01:00,77050.0,2806.0,11945.0,44430.0,2965.0,0.0,96.96307184483892,0.0,190.84,2023,01,30,68400
9796,2023-02-23 06:00:00+01:00,55736.0,3386.0,11945.0,43495.0,1430.0,0.0,36.35576749382908,0.0,135.07,2023,02,23,21600
9809,2023-02-23 19:00:00+01:00,63728.0,3386.0,11945.0,43495.0,5127.0,0.0,201.63999036472387,0.0,167.48,2023,02,23,68400
9119,2023-01-26 01:00:00+01:00,67483.0,3386.0,11945.0,45930.0,2530.0,0.0,52.11412815102221,0.0,152.93,2023,01,26,3600
10037,2023-03-06 07:00:00+01:00,68525.0,3386.0,11945.0,38315.0,1605.0,376.0,22.21875789990019,1.916560099339192,167.93,2023,03,06,25200
10419,2023-03-22 05:00:00+01:00,44396.0,3386.0,11945.0,38145.0,9214.0,0.0,210.74242401814936,0.0,76.45,2023,03,22,18000
9841,2023-02-26 03:00:00+01:00,52799.0,3386.0,11742.0,39180.0,8308.0,0.0,61.00361609339746,0.0,120.23,2023,02,26,10800
8824,2023-01-13 18:00:00+01:00,61736.0,3386.0,11945.0,46265.0,9339.0,0.0,150.36707202445066,0.0,154.89,2023,01,13,64800
9986,2023-03-04 04:00:00+01:00,55330.0,3386.0,11945.0,38081.0,3421.0,0.0,62.93520373591455,0.0,132.76,2023,03,04,14400
9803,2023-02-23 13:00:00+01:00,60406.0,3386.0,11945.0,43495.0,2396.0,3183.0,88.72687031750799,49.15671218604004,145.48,2023,02,23,46800
9998,2023-03-04 16:00:00+01:00,52436.0,3386.0,11945.0,38081.0,2784.0,4023.0,80.09222362822939,161.23811633335995,116.38,2023,03,04,57600
10129,2023-03-10 03:00:00+01:00,46719.0,3386.0,11945.0,38125.0,12951.0,0.0,26.12914132044496,0.0,97.39,2023,03,10,10800
8707,2023-01-08 21:00:00+01:00,51111.0,3386.0,11945.0,45350.0,11898.0,0.0,247.2608207785132,0.0,116.18,2023,01,08,75600
8804,2023-01-12 22:00:00+01:00,55867.0,3386.0,11945.0,46265.0,13304.0,0.0,103.31084240644894,0.0,139.79,2023,01,12,79200
8665,2023-01-07 03:00:00+01:00,46645.0,2806.0,11945.0,44440.0,7725.0,0.0,71.21258334131552,0.0,99.93,2023,01,07,10800
10312,2023-03-17 18:00:00+01:00,50352.0,3086.0,11945.0,38315.0,4704.0,423.0,63.73508540130111,11.597892528865446,115.54,2023,03,17,64800
8684,2023-01-07 22:00:00+01:00,51118.0,3386.0,11945.0,44440.0,11815.0,0.0,319.9284877931111,0.0,122.69,2023,01,07,79200
10012,2023-03-05 06:00:00+01:00,52050.0,3386.0,11945.0,38081.0,1775.0,0.0,12.698103404263144,0.0,127.68,2023,03,05,21600
9188,2023-01-28 22:00:00+01:00,67414.0,3386.0,11945.0,44846.0,3443.0,0.0,112.60411055678944,0.0,159.02,2023,01,28,79200
9830,2023-02-25 16:00:00+01:00,50862.0,3386.0,11945.0,41055.0,7503.0,2298.0,316.37115409413826,134.3013550499543,106.71,2023,02,25,57600
9886,2023-02-28 00:00:00+01:00,63770.0,3386.0,11747.0,39615.0,7966.0,0.0,37.53764994507101,0.0,142.88,2023,02,28,0
10562,2023-03-28 05:00:00+02:00,48886.0,3386.0,11952.0,36990.0,3469.0,0.0,114.60571795610925,0.0,99.86,2023,03,28,18000
8886,2023-01-16 08:00:00+01:00,66721.0,3386.0,11945.0,47760.0,12772.0,121.0,444.6305986783252,4.969186096084181,158.28,2023,01,16,28800
8813,2023-01-13 07:00:00+01:00,60983.0,3386.0,11945.0,46265.0,12747.0,0.0,90.39992842266838,0.0,103.58,2023,01,13,25200
8781,2023-01-11 23:00:00+01:00,56443.0,3386.0,11945.0,46265.0,13300.0,0.0,221.70891827899973,0.0,134.17,2023,01,11,82800
10460,2023-03-23 22:00:00+01:00,46404.0,3386.0,11945.0,39350.0,12393.0,0.0,195.3487946911927,0.0,110.49,2023,03,23,79200
9851,2023-02-26 13:00:00+01:00,58220.0,3386.0,11742.0,39180.0,13451.0,8973.0,184.08623476529976,96.91309023461883,99.88,2023,02,26,46800
8949,2023-01-18 23:00:00+01:00,68569.0,2806.0,11945.0,46850.0,4089.0,0.0,265.26278076115943,0.0,150.61,2023,01,18,82800
9100,2023-01-25 06:00:00+01:00,70609.0,3256.0,11945.0,43525.0,2356.0,0.0,60.85611982587632,0.0,158.78,2023,01,25,21600
9212,2023-01-29 22:00:00+01:00,66654.0,3386.0,11945.0,44845.0,4282.0,0.0,70.7509156371285,0.0,149.27,2023,01,29,79200
10294,2023-03-17 00:00:00+01:00,48034.0,3086.0,11945.0,38315.0,7602.0,0.0,55.62573345334182,0.0,109.55,2023,03,17,0
8873,2023-01-15 19:00:00+01:00,59001.0,3386.0,11945.0,46265.0,12442.0,0.0,173.54560948473627,0.0,149.62,2023,01,15,68400
8880,2023-01-16 02:00:00+01:00,53123.0,3386.0,11945.0,47760.0,13661.0,0.0,276.7977542033644,0.0,65.98,2023,01,16,7200
8882,2023-01-16 04:00:00+01:00,50143.0,3386.0,11945.0,47760.0,14282.0,0.0,370.30498382515896,0.0,52.04,2023,01,16,14400
9033,2023-01-22 11:00:00+01:00,72279.0,2226.0,11945.0,43630.0,5192.0,4362.0,198.9893500615268,63.73248830352985,173.81,2023,01,22,39600
9388,2023-02-06 06:00:00+01:00,62761.0,3386.0,11945.0,44822.0,5235.0,0.0,117.01131167038302,0.0,149.85,2023,02,06,21600
8796,2023-01-12 14:00:00+01:00,60017.0,3386.0,11945.0,46265.0,14703.0,2709.0,31.563454088342635,14.949151286377644,140.4,2023,01,12,50400
9127,2023-01-26 09:00:00+01:00,78022.0,3126.0,11945.0,45930.0,4851.0,1167.0,72.88284089367005,16.030200256435936,206.55,2023,01,26,32400
9104,2023-01-25 10:00:00+01:00,78727.0,3156.0,11945.0,43525.0,2009.0,2844.0,27.985815734992247,101.22962959774542,231.38,2023,01,25,36000
10088,2023-03-08 10:00:00+01:00,65006.0,3386.0,11945.0,39815.0,10162.0,3083.0,379.2187014499823,33.6556961353192,160.37,2023,03,08,36000
9945,2023-03-02 11:00:00+01:00,71838.0,3386.0,11945.0,39615.0,1867.0,6664.0,35.53126212556067,118.31016066951724,157.76,2023,03,02,39600
9958,2023-03-03 00:00:00+01:00,62119.0,3226.0,11945.0,39615.0,3730.0,0.0,108.55402859490282,0.0,151.05,2023,03,03,0
